method,child_id,alpha,energy_mwh,p_req_mean_mw,p_req_std_mw,p_req_min_mw,p_req_max_mw,mean_abs_ramp_mw,feasible,status,fuel_kg,operating_fuel_kg,start_fuel_kg,dg_count_switches,commitment_signature
uniform,uniform_046,0.5,385.4330502367769,16.059710426532373,0.8697909843176366,14.698241086813303,18.733830666022325,0.9045314220591075,True,Optimal,69939.67819219644,69599.67819219644,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_047,0.4375,385.433050236777,16.059710426532373,0.90299530057096,14.413549958077725,18.88325509213753,0.826315658816834,True,Optimal,69939.41330609524,69599.41330609524,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_048,0.5,385.433050236777,16.059710426532376,1.0143050213441624,14.349480881640796,18.819186015700602,0.9087063134544241,True,Optimal,69944.31336403136,69604.31336403136,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_049,0.5416666666666666,385.433050236777,16.059710426532376,0.8215310700846173,14.568716449603306,18.511061411622666,0.7682236390816772,True,Optimal,69934.11842266444,69594.11842266444,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_050,0.6041666666666666,385.4330502367769,16.059710426532373,0.7975100813780275,14.218210894780551,18.68791602884036,0.7839485868255208,True,Optimal,69940.9387527148,69600.9387527148,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_051,0.375,385.43305023677704,16.059710426532376,1.0741233439505316,14.596283378944445,18.631872958153465,0.8843882406118669,True,Optimal,69948.73347564081,69608.73347564081,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_052,0.5625,385.43305023677704,16.059710426532376,0.8443254474908843,14.883094701134233,18.27558849276023,0.8241038797006871,True,Optimal,69935.36033843007,69595.36033843007,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_053,0.5208333333333334,385.433050236777,16.059710426532373,0.9005616747332226,14.45374232788922,18.24814705321175,0.8059632980433399,True,Optimal,69938.61518552531,69598.61518552531,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_054,0.3541666666666667,385.433050236777,16.059710426532373,1.0264153323773688,14.647709142078174,18.723578595982122,0.6998336671825791,True,Optimal,69943.97073074,69603.97073074,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_055,0.4583333333333333,385.433050236777,16.059710426532376,0.9844875501189997,14.233575914890718,18.671815247672622,0.9591436487354222,True,Optimal,69945.97007675016,69605.97007675016,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_056,0.4375,385.433050236777,16.059710426532373,0.8836359286342627,14.60882135556259,18.789542181698852,0.8421784932384839,True,Optimal,69939.57496451178,69599.57496451178,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_057,0.4166666666666667,385.433050236777,16.059710426532373,0.9221061756720158,14.45212377398431,18.92182890804412,0.7401666648080641,True,Optimal,69936.97774632073,69596.97774632073,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_058,0.5,385.43305023677704,16.059710426532376,0.8899122824905266,14.38554755350606,18.855252687565866,0.8379077618606332,True,Optimal,69940.83090733169,69600.83090733169,340.0,0,222222222222222222222222222222222222222222222222
uniform,uniform_059,0.5,385.433050236777,16.059710426532373,0.9919487108120387,14.240572029808073,18.71027716386788,0.9434616405317571,True,Optimal,69947.39008286888,69607.39008286888,340.0,0,222222222222222222222222222222222222222222222222
sbx_profile_proxy,sbx_000,0.9982479110961631,385.4330502367769,16.059710426532373,0.5484715661131239,14.378055354838787,16.975818060028786,0.35623863838893455,True,Optimal,69919.99799750153,69509.99799750153,410.0,2,222222222222222222222222222222222332222222222222
sbx_profile_proxy,sbx_001,1.0050321521726167,385.433050236777,16.059710426532373,0.5486514683077931,14.383418603175516,16.95286503176536,0.34180545626023556,True,Optimal,69920.48096671574,69510.48096671574,410.0,2,222222222222222222222222222222222332222222222222
sbx_profile_proxy,sbx_002,1.0025914997320764,385.4330502367769,16.059710426532373,0.5497990379021263,14.346003533604424,16.971091697035785,0.34618434671236625,True,Optimal,69920.1935679398,69510.1935679398,410.0,2,222222222222222222222222222222222332222222222222
sbx_profile_proxy,sbx_003,1.00323670207257,385.433050236777,16.059710426532376,0.5666801584454397,14.305507373373402,16.97339618910186,0.3521927571621393,True,Optimal,69934.72730108893,69594.72730108893,340.0,0,222222222222222222222222222222222222222222222222
sbx_profile_proxy,sbx_004,0.997959211145873,385.433050236777,16.059710426532373,0.5616097785707613,14.355480328626944,16.96705256313603,0.36097519548751744,True,Optimal,69921.26070405927,69511.26070405927,410.0,2,222222222222222222222222222222222332222222222222
