single_P_req_MW,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
23.0,True,Optimal,4610.603405,4150.603405,460.0,4610.603405,3,DG1+DG2+DG3,1.049999999999999,1,7.5600000000000005,1,8.3,1,7.14,0,0.0
23.25,True,Optimal,4654.998169375,4194.998169375,460.0,4654.998169375,3,DG1+DG2+DG3,0.7999999999999989,1,7.5600000000000005,1,8.55,1,7.14,0,0.0
23.5,True,Optimal,4699.392933749999,4239.392933749999,460.0,4699.392933749999,3,DG1+DG2+DG3,0.5499999999999989,1,7.5600000000000005,1,8.8,1,7.14,0,0.0
23.75,True,Optimal,4743.787698124999,4283.787698124999,460.0,4743.787698124999,3,DG1+DG2+DG3,0.3000000000000025,1,7.5600000000000005,1,9.049999999999997,1,7.14,0,0.0
24.0,True,Optimal,4788.1824625,4328.1824625,460.0,4788.1824625,3,DG1+DG2+DG4,0.04999999999999982,1,9.18,1,7.680000000000001,0,0.0,1,7.14
24.25,True,Optimal,4990.959570375,4410.959570375,580.0,4990.959570375,4,DG1+DG2+DG3+DG4,8.2,1,7.5600000000000005,1,4.929999999999999,1,5.88,1,5.88
24.5,True,Optimal,5033.47006475,4453.47006475,580.0,5033.47006475,4,DG1+DG2+DG3+DG4,7.95,1,7.5600000000000005,1,5.179999999999999,1,5.88,1,5.88
24.75,True,Optimal,5075.980559125,4495.980559125,580.0,5075.980559125,4,DG1+DG2+DG3+DG4,7.7,1,7.5600000000000005,1,5.429999999999999,1,5.88,1,5.88
25.0,True,Optimal,5118.4910535,4538.4910535,580.0,5118.4910535,4,DG1+DG2+DG3+DG4,7.45,1,7.5600000000000005,1,5.679999999999999,1,5.88,1,5.88
25.25,True,Optimal,5161.001547875,4581.001547875,580.0,5161.001547875,4,DG1+DG2+DG3+DG4,7.2,1,7.5600000000000005,1,5.929999999999999,1,5.88,1,5.88
