idx,route_P_req_MW,t_star,feasible,status,total_fuel_kg,total_operating_fuel_kg,total_start_fuel_kg,objective_value,DG_count,commitment,N1_min_margin_MW,DG1_ON,DG1_P_MW,DG2_ON,DG2_P_MW,DG3_ON,DG3_P_MW,DG4_ON,DG4_P_MW
102,16.04446320074274,34,True,Optimal,69822.48359288494,69412.48359288494,410.0,69822.48359288496,2,DG1+DG3,0.8555367993000011,1,8.9044632007,0,0.0,1,7.14,0,0.0
103,16.06072700456348,34,True,Optimal,69823.92764836889,69413.92764836889,410.0,69823.92764836893,2,DG2+DG3,0.8392729954000018,0,0.0,1,8.9207270046,1,7.14,0,0.0
104,16.07699080838422,34,True,Optimal,69825.37170384398,69415.37170384398,410.0,69825.37170384402,2,DG2+DG3,0.8230091916000006,0,0.0,1,8.936990808400001,1,7.14,0,0.0
105,16.09325461220496,34,True,Optimal,69826.81575931907,69416.81575931907,410.0,69826.81575931911,2,DG2+DG4,0.8067453878000013,0,0.0,1,9.18,0,0.0,1,6.913254612199999
106,16.1095184160257,34,True,Optimal,69828.25981479415,69418.25981479415,410.0,69828.25981479419,2,DG1+DG3,0.7904815840000019,1,8.969518416,0,0.0,1,7.14,0,0.0
107,16.12578221984644,34,True,Optimal,69829.70387026924,69419.70387026924,410.0,69829.70387026927,2,DG1+DG3,0.7742177802000008,1,8.9857822198,0,0.0,1,7.14,0,0.0
108,16.142046023667177,34,True,Optimal,69831.14792575319,69421.14792575319,410.0,69831.14792575323,2,DG2+DG3,0.7579539763000014,0,0.0,1,9.0020460237,1,7.14,0,0.0
109,16.15830982748792,34,True,Optimal,69832.59198122828,69422.59198122828,410.0,69832.59198122832,2,DG1+DG4,0.7416901725000038,1,9.018309827499998,0,0.0,0,0.0,1,7.14
110,16.174573631308657,34,True,Optimal,69834.03603670337,69424.03603670337,410.0,69834.0360367034,2,DG2+DG3,0.7254263687000027,0,0.0,1,9.034573631299999,1,7.14,0,0.0
111,16.1908374351294,34,True,Optimal,69835.48009217845,69425.48009217845,410.0,69835.4800921785,2,DG2+DG4,0.7091625649000015,0,0.0,1,9.0508374351,0,0.0,1,7.14
112,16.207101238950138,34,True,Optimal,69836.92414766242,69426.92414766242,410.0,69836.92414766246,2,DG1+DG3,0.6928987610000021,1,9.067101239,0,0.0,1,7.14,0,0.0
113,16.223365042770876,34,True,Optimal,69838.3682031375,69428.3682031375,410.0,69838.36820313755,2,DG2+DG4,0.676634957200001,0,0.0,1,9.0833650428,0,0.0,1,7.14
114,16.239628846591618,34,True,Optimal,69839.8122586126,69429.8122586126,410.0,69839.81225861264,2,DG1+DG4,0.6603711534000034,1,9.099628846599998,0,0.0,0,0.0,1,7.14
115,16.255892650412356,34,True,Optimal,69841.42572623517,69431.42572623517,410.0,69841.4257262352,2,DG1+DG3,0.6441073496000023,1,9.1158926504,0,0.0,1,7.14,0,0.0
116,16.272156454233098,34,True,Optimal,69842.70036956275,69432.70036956275,410.0,69842.70036956281,2,DG2+DG4,0.6278435458000011,0,0.0,1,9.1321564542,0,0.0,1,7.14
117,16.288420258053836,34,True,Optimal,69844.14442504672,69434.14442504672,410.0,69844.14442504676,2,DG1+DG3,0.6115797419000017,1,9.1484202581,0,0.0,1,7.14,0,0.0
118,16.304684061874575,34,True,Optimal,69845.58848052181,69435.58848052181,410.0,69845.58848052184,2,DG1+DG3,0.5953159381000006,1,9.164684061900001,0,0.0,1,7.14,0,0.0
119,16.320947865695317,34,True,Optimal,69847.03970539795,69437.03970539795,410.0,69847.03970539798,2,DG1+DG3,0.579052134300003,1,9.18,0,0.0,1,7.14,0,0.0
120,16.337211669516055,34,True,Optimal,69848.60677590809,69438.60677590809,410.0,69848.60677590812,2,DG1+DG3,0.5627883305000019,1,9.18,0,0.0,1,7.14,0,0.0
121,16.353475473336797,34,True,Optimal,69850.17384641821,69440.17384641821,410.0,69850.17384641826,2,DG2+DG4,0.5465245267000007,0,0.0,1,9.18,0,0.0,1,7.14
122,16.369739277157535,34,True,Optimal,69851.74091693798,69441.74091693798,410.0,69851.74091693801,2,DG2+DG3,0.5302607228000014,0,0.0,1,9.18,1,7.14,0,0.0
123,16.386003080978277,34,True,Optimal,69853.41652302135,69443.41652302135,410.0,69853.4165230214,2,DG1+DG3,0.5139969190000038,1,9.246003080999998,0,0.0,1,7.14,0,0.0
124,16.402266884799015,34,True,Optimal,69855.01033775679,69445.01033775679,410.0,69855.01033775683,2,DG1+DG3,0.49773311520000263,1,9.262266884799999,0,0.0,1,7.14,0,0.0
125,16.418530688619754,34,True,Optimal,69856.44212846836,69446.44212846836,410.0,69856.4421284684,2,DG1+DG3,0.4814693114000015,1,9.18,0,0.0,1,7.14,0,0.0
126,16.434794492440496,34,True,Optimal,69858.0091989785,69448.0091989785,410.0,69858.00919897853,2,DG1+DG3,0.46520550760000035,1,9.18,0,0.0,1,7.14,0,0.0
127,16.451058296261234,34,True,Optimal,69859.57626949827,69449.57626949827,410.0,69859.57626949831,2,DG2+DG3,0.44894170370000097,0,0.0,1,9.18,1,7.14,0,0.0
128,16.467322100081972,34,True,Optimal,69861.14334000839,69451.14334000839,410.0,69861.14334000845,2,DG2+DG4,0.4326778999000034,0,0.0,1,9.18,0,0.0,1,7.14
129,16.483585903902714,34,True,Optimal,69863.45399446235,69453.45399446235,410.0,69863.4539944624,2,DG2+DG4,0.41641409610000224,0,0.0,1,9.18,0,0.0,1,7.14
130,16.499849707723452,34,True,Optimal,69864.27748102865,69454.27748102865,410.0,69864.2774810287,2,DG1+DG3,0.4001502923000011,1,9.18,0,0.0,1,7.14,0,0.0
131,16.516113511544194,34,True,Optimal,69866.63888449264,69456.63888449264,410.0,69866.63888449268,2,DG2+DG4,0.3838864885000035,0,0.0,1,9.18,0,0.0,1,7.14
132,16.532377315364933,34,True,Optimal,69867.41162205856,69457.41162205856,410.0,69867.4116220586,2,DG1+DG4,0.3676226846000006,1,9.18,0,0.0,0,0.0,1,7.14
133,16.548641119185675,34,True,Optimal,69869.77302552255,69459.77302552255,410.0,69869.77302552256,2,DG1+DG3,0.351358880800003,1,9.18,0,0.0,1,7.14,0,0.0
134,16.564904923006413,34,True,Optimal,69870.54576307882,69460.54576307882,410.0,69870.54576307884,2,DG2+DG3,0.33509507700000185,0,0.0,1,9.18,1,7.14,0,0.0
135,16.58116872682715,34,True,Optimal,69872.11283358894,69462.11283358894,410.0,69872.112833589,2,DG2+DG4,0.3188312732000007,0,0.0,1,9.18,0,0.0,1,7.14
136,16.597432530647893,34,True,Optimal,69873.67990409907,69463.67990409907,410.0,69873.67990409912,2,DG1+DG3,0.3025674694000031,1,9.18,0,0.0,1,7.14,0,0.0
137,16.61369633446863,34,True,Optimal,69875.24697461884,69465.24697461884,410.0,69875.2469746189,2,DG1+DG4,0.28630366550000375,1,9.18,0,0.0,0,0.0,1,7.14
138,16.62996013828937,34,True,Optimal,69876.81404512898,69466.81404512898,410.0,69876.81404512901,2,DG1+DG3,0.2700398617000026,1,9.18,0,0.0,1,7.14,0,0.0
139,16.64622394211011,34,True,Optimal,69878.3811156391,69468.3811156391,410.0,69878.38111563916,2,DG1+DG4,0.25377605790000146,1,9.18,0,0.0,0,0.0,1,7.14
140,16.66248774593085,34,True,Optimal,69879.94818614924,69469.94818614924,410.0,69879.94818614927,2,DG2+DG3,0.23751225410000032,0,0.0,1,9.18,1,7.14,0,0.0
141,16.678751549751592,34,True,Optimal,69881.51525666901,69471.51525666901,410.0,69881.51525666904,2,DG2+DG3,0.22124845020000095,0,0.0,1,9.18,1,7.14,0,0.0
142,16.69501535357233,34,True,Optimal,69883.08232717913,69473.08232717913,410.0,69883.08232717919,2,DG1+DG4,0.20498464640000336,1,9.18,0,0.0,0,0.0,1,7.14
143,16.711279157393072,34,True,Optimal,69884.64939768927,69474.64939768927,410.0,69884.6493976893,2,DG1+DG3,0.18872084260000221,1,9.18,0,0.0,1,7.14,0,0.0
144,16.72754296121381,34,True,Optimal,69886.2164681994,69476.2164681994,410.0,69886.21646819945,2,DG1+DG4,0.17245703880000107,1,9.18,0,0.0,0,0.0,1,7.14
